,,,,,,,,,,,,,,,,,,,,,,,,,,,,mcwv,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,2,,3,,34,,35,,,,,1,,2,,3,,34,,35,,,,,,,,,,,,,,Lamda Calculation,,,,,,,,,,,,,,,
mcfpa,,Eucledian,,alogistic,,hebb,,moduloX1,,moduloX2,,,,mcfpv,Eucledian,,alogistic,,hebb,,moduloX1,,moduloX2,,,,,,,,,,,,,,Power,,,,,,Sum,,,,,,,,,
,,power ,?,?,??,persistance,,toggleAt,Interval Length,toggleAt,Interval Length,,,,power ,?,?,??,persistance,,toggleAt,Interval Length,toggleAt,Interval Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,psa,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,19,psa,NaN,NaN,3,0.4,NaN,NaN,NaN,NaN,NaN,NaN,,,19,psa,NaN,NaN,0.2,NaN,NaN,,,,0,0,0,0,0,,0,,NaN,1,NaN,NaN,NaN,,%,psa
20,os,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,20,os,1,1.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,20,os,0.8,0.4,0.5,NaN,NaN,,,,0.8,0.4,0.5,0,0,,1.7,,1,NaN,NaN,NaN,NaN,,%,os
21,esaction,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,21,esaction,1,1.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,21,esaction,0.9,0.3,0.2,NaN,NaN,,,,0.9,0.3,0.2,0,0,,1.4,,1,NaN,NaN,NaN,NaN,,%,esaction
22,wsang,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,22,wsang,NaN,NaN,10,0.4,NaN,NaN,NaN,NaN,NaN,NaN,,,22,wsang,-0.4,0.8,NaN,NaN,NaN,,,,0,0,0,0,0,,0,,NaN,1,NaN,NaN,NaN,,%,wsang
23,ssang,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,23,ssang,1,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,23,ssang,0.8,NaN,NaN,NaN,NaN,,,,0.8,0,0,0,0,,0.8,,1,NaN,NaN,NaN,NaN,,%,ssang
24,srsang,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,24,srsang,1,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,24,srsang,0.8,NaN,NaN,NaN,NaN,,,,0.8,0,0,0,0,,0.8,,1,NaN,NaN,NaN,NaN,,%,srsang
25,psang,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,25,psang,1,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,25,psang,0.4,0.1,0.1,NaN,NaN,,,,0.4,0.1,0.1,0,0,,0.6,,NaN,1,NaN,NaN,NaN,,%,psang
26,esang,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,26,esang,1,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,26,esang,0.8,NaN,NaN,NaN,NaN,,,,0.8,0,0,0,0,,0.8,,1,NaN,NaN,NaN,NaN,,%,esang
27,fsang,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,27,fsang,1,0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,27,fsang,0.7,NaN,NaN,NaN,NaN,,,,0.7,0,0,0,0,,0.7,,1,NaN,NaN,NaN,NaN,,%,fsang
28,val,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,28,val,NaN,NaN,10,0.2,NaN,NaN,NaN,NaN,NaN,NaN,,,28,val,-0.3,0.4,NaN,NaN,NaN,,,,0,0,0,0,0,,0,,NaN,1,NaN,NaN,NaN,,%,val
